# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:03:00 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
12.0603 4.4243e+05 3.4583e+05 5.8177e+05 3.4999e+05 5.7636e+05 4.1438e+05 4.8090e+05 5.2070e+05 3.8896e+05 4.8336e+05 3.4999e+05 5.7636e+05 3.8611e+05
12.3116 4.0324e+05 3.1615e+05 5.2821e+05 3.1982e+05 5.2337e+05 3.7820e+05 4.3768e+05 4.7434e+05 3.5452e+05 4.3955e+05 3.1982e+05 5.2337e+05 3.5326e+05
12.5628 3.6807e+05 2.8942e+05 4.8033e+05 2.9267e+05 4.7599e+05 3.4568e+05 3.9897e+05 4.3276e+05 3.2363e+05 4.0034e+05 2.9267e+05 4.7599e+05 3.2364e+05
12.8141 3.3646e+05 2.6531e+05 4.3745e+05 2.6820e+05 4.3356e+05 3.1640e+05 3.6425e+05 3.9539e+05 2.9586e+05 3.6520e+05 2.6820e+05 4.3356e+05 2.9688e+05
13.0653 3.0801e+05 2.4353e+05 3.9900e+05 2.4610e+05 3.9549e+05 2.9000e+05 3.3304e+05 3.6176e+05 2.7087e+05 3.3364e+05 2.4610e+05 3.9549e+05 2.7269e+05
13.3166 2.8235e+05 2.2383e+05 3.6446e+05 2.2611e+05 3.6129e+05 2.6616e+05 3.0494e+05 3.3145e+05 2.4832e+05 3.0525e+05 2.2611e+05 3.6129e+05 2.5077e+05
13.5678 2.5918e+05 2.0597e+05 3.3339e+05 2.0801e+05 3.3052e+05 2.4459e+05 2.7960e+05 3.0407e+05 2.2796e+05 2.7968e+05 2.0801e+05 3.3052e+05 2.3089e+05
13.8191 2.3821e+05 1.8976e+05 3.0540e+05 1.9159e+05 3.0280e+05 2.2504e+05 2.5671e+05 2.7931e+05 2.0954e+05 2.5660e+05 1.9159e+05 3.0280e+05 2.1283e+05
14.0704 2.1922e+05 1.7504e+05 2.8014e+05 1.7667e+05 2.7779e+05 2.0731e+05 2.3600e+05 2.5689e+05 1.9286e+05 2.3575e+05 1.7667e+05 2.7779e+05 1.9641e+05
14.3216 2.0198e+05 1.6164e+05 2.5734e+05 1.6310e+05 2.5520e+05 1.9121e+05 2.1723e+05 2.3656e+05 1.7771e+05 2.1687e+05 1.6310e+05 2.5520e+05 1.8146e+05
14.5729 1.8632e+05 1.4943e+05 2.3670e+05 1.5074e+05 2.3475e+05 1.7655e+05 2.0020e+05 2.1809e+05 1.6395e+05 1.9977e+05 1.5074e+05 2.3475e+05 1.6783e+05
14.8241 1.7208e+05 1.3829e+05 2.1799e+05 1.3948e+05 2.1621e+05 1.6320e+05 1.8472e+05 2.0129e+05 1.5143e+05 1.8422e+05 1.3948e+05 2.1621e+05 1.5538e+05
15.0754 1.5909e+05 1.2812e+05 2.0099e+05 1.2919e+05 1.9937e+05 1.5102e+05 1.7064e+05 1.8600e+05 1.4002e+05 1.7008e+05 1.2919e+05 1.9937e+05 1.4401e+05
15.3266 1.4725e+05 1.1882e+05 1.8553e+05 1.1979e+05 1.8404e+05 1.3990e+05 1.5781e+05 1.7205e+05 1.2962e+05 1.5720e+05 1.1979e+05 1.8404e+05 1.3361e+05
15.5779 1.3643e+05 1.1031e+05 1.7145e+05 1.1118e+05 1.7009e+05 1.2972e+05 1.4610e+05 1.5931e+05 1.2011e+05 1.4544e+05 1.1118e+05 1.7009e+05 1.2408e+05
15.8291 1.2654e+05 1.0250e+05 1.5861e+05 1.0330e+05 1.5736e+05 1.2041e+05 1.3540e+05 1.4767e+05 1.1141e+05 1.3471e+05 1.0330e+05 1.5736e+05 1.1534e+05
16.0804 1.1748e+05 9.5341e+04 1.4689e+05 9.6063e+04 1.4575e+05 1.1187e+05 1.2562e+05 1.3702e+05 1.0345e+05 1.2490e+05 9.6063e+04 1.4575e+05 1.0731e+05
16.3317 1.0918e+05 8.8761e+04 1.3618e+05 8.9417e+04 1.3513e+05 1.0404e+05 1.1665e+05 1.2725e+05 9.6148e+04 1.1592e+05 8.9417e+04 1.3513e+05 9.9936e+04
16.5829 1.0155e+05 8.2709e+04 1.2638e+05 8.3306e+04 1.2541e+05 9.6844e+04 1.0844e+05 1.1830e+05 8.9446e+04 1.0769e+05 8.3306e+04 1.2541e+05 9.3148e+04
16.8342 9.4551e+04 7.7136e+04 1.1740e+05 7.7682e+04 1.1650e+05 9.0226e+04 1.0089e+05 1.1008e+05 8.3289e+04 1.0015e+05 7.7682e+04 1.1650e+05 8.6895e+04
17.0854 8.8110e+04 7.2000e+04 1.0916e+05 7.2498e+04 1.0834e+05 8.4134e+04 9.3962e+04 1.0252e+05 7.7625e+04 9.3216e+04 7.2498e+04 1.0834e+05 8.1130e+04
17.3367 8.2180e+04 6.7261e+04 1.0160e+05 6.7717e+04 1.0084e+05 7.8520e+04 8.7586e+04 9.5561e+04 7.2410e+04 8.6848e+04 6.7717e+04 1.0084e+05 7.5809e+04
17.5879 7.6715e+04 6.2885e+04 9.4655e+04 6.3302e+04 9.3944e+04 7.3342e+04 8.1713e+04 8.9154e+04 6.7603e+04 8.0989e+04 6.3302e+04 9.3944e+04 7.0893e+04
17.8392 7.1673e+04 5.8840e+04 8.8260e+04 5.9223e+04 8.7602e+04 6.8562e+04 7.6300e+04 8.3246e+04 6.3168e+04 7.5592e+04 5.9223e+04 8.7602e+04 6.6349e+04
18.0905 6.7017e+04 5.5099e+04 8.2369e+04 5.5451e+04 8.1758e+04 6.4143e+04 7.1305e+04 7.7793e+04 5.9072e+04 7.0613e+04 5.5451e+04 8.1758e+04 6.2144e+04
18.3417 6.2714e+04 5.1635e+04 7.6936e+04 5.1959e+04 7.6368e+04 6.0056e+04 6.6692e+04 7.2756e+04 5.5286e+04 6.6016e+04 5.1959e+04 7.6368e+04 5.8250e+04
18.5930 5.8732e+04 4.8426e+04 7.1921e+04 4.8724e+04 7.1393e+04 5.6273e+04 6.2426e+04 6.8098e+04 5.1782e+04 6.1768e+04 4.8724e+04 7.1393e+04 5.4640e+04
18.8442 5.5045e+04 4.5449e+04 6.7286e+04 4.5723e+04 6.6795e+04 5.2767e+04 5.8479e+04 6.3787e+04 4.8537e+04 5.7839e+04 4.5723e+04 6.6795e+04 5.1291e+04
19.0955 5.1629e+04 4.2685e+04 6.3000e+04 4.2938e+04 6.2542e+04 4.9515e+04 5.4823e+04 5.9794e+04 4.5530e+04 5.4200e+04 4.2938e+04 6.2542e+04 4.8180e+04
19.3467 4.8459e+04 4.0118e+04 5.9033e+04 4.0352e+04 5.8606e+04 4.6497e+04 5.1434e+04 5.6092e+04 4.2740e+04 5.0829e+04 4.0352e+04 5.8606e+04 4.5290e+04
19.5980 4.5517e+04 3.7730e+04 5.5357e+04 3.7947e+04 5.4958e+04 4.3694e+04 4.8290e+04 5.2657e+04 4.0150e+04 4.7702e+04 3.7947e+04 5.4958e+04 4.2602e+04
19.8492 4.2783e+04 3.5508e+04 5.1947e+04 3.5709e+04 5.1575e+04 4.1087e+04 4.5371e+04 4.9468e+04 3.7742e+04 4.4800e+04 3.5709e+04 5.1575e+04 4.0099e+04
20.1005 4.0242e+04 3.3439e+04 4.8783e+04 3.3625e+04 4.8435e+04 3.8663e+04 4.2657e+04 4.6504e+04 3.5504e+04 4.2103e+04 3.3625e+04 4.8435e+04 3.7768e+04
20.3518 3.7876e+04 3.1511e+04 4.5844e+04 3.1683e+04 4.5518e+04 3.6405e+04 4.0134e+04 4.3748e+04 3.3420e+04 3.9596e+04 3.1683e+04 4.5518e+04 3.5594e+04
20.6030 3.5674e+04 2.9712e+04 4.3112e+04 2.9872e+04 4.2806e+04 3.4302e+04 3.7785e+04 4.1183e+04 3.1480e+04 3.7263e+04 2.9872e+04 4.2806e+04 3.3566e+04
20.8543 3.3621e+04 2.8033e+04 4.0570e+04 2.8181e+04 4.0282e+04 3.2340e+04 3.5598e+04 3.8794e+04 2.9672e+04 3.5091e+04 2.8181e+04 4.0282e+04 3.1672e+04
21.1055 3.1707e+04 2.6464e+04 3.8202e+04 2.6602e+04 3.7933e+04 3.0510e+04 3.3558e+04 3.6568e+04 2.7984e+04 3.3066e+04 2.6602e+04 3.7933e+04 2.9902e+04
21.3568 2.9920e+04 2.4998e+04 3.5996e+04 2.5127e+04 3.5743e+04 2.8802e+04 3.1656e+04 3.4491e+04 2.6410e+04 3.1178e+04 2.5127e+04 3.5743e+04 2.8248e+04
21.6080 2.8251e+04 2.3627e+04 3.3939e+04 2.3746e+04 3.3701e+04 2.7205e+04 2.9879e+04 3.2552e+04 2.4938e+04 2.9416e+04 2.3746e+04 3.3701e+04 2.6700e+04
21.8593 2.6690e+04 2.2343e+04 3.2019e+04 2.2455e+04 3.1795e+04 2.5710e+04 2.8219e+04 3.0738e+04 2.3562e+04 2.7770e+04 2.2455e+04 3.1795e+04 2.5251e+04
22.1106 2.5229e+04 2.1140e+04 3.0226e+04 2.1245e+04 3.0015e+04 2.4311e+04 2.6666e+04 2.9042e+04 2.2275e+04 2.6231e+04 2.1245e+04 3.0015e+04 2.3894e+04
