# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:45:22 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 100
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
18.2957 9.6428e+04 7.6580e+04 1.2471e+05 7.7095e+04 1.2431e+05 9.1939e+04 1.0113e+05 1.1250e+05 8.5309e+04 1.0508e+05 7.7095e+04 1.2431e+05 8.4697e+04
18.5464 9.1450e+04 7.2729e+04 1.1805e+05 7.3207e+04 1.1769e+05 8.7245e+04 9.5851e+04 1.0668e+05 8.0904e+04 9.9544e+04 7.3207e+04 1.1769e+05 8.0477e+04
18.7970 8.6767e+04 6.9100e+04 1.1181e+05 6.9545e+04 1.1146e+05 8.2827e+04 9.0887e+04 1.0121e+05 7.6761e+04 9.4341e+04 6.9545e+04 1.1146e+05 7.6498e+04
19.0476 8.2361e+04 6.5681e+04 1.0594e+05 6.6095e+04 1.0562e+05 7.8668e+04 8.6220e+04 9.6061e+04 7.2864e+04 8.9453e+04 6.6095e+04 1.0562e+05 7.2745e+04
19.2982 7.8213e+04 6.2456e+04 1.0043e+05 6.2841e+04 1.0013e+05 7.4748e+04 8.1828e+04 9.1211e+04 6.9195e+04 8.4858e+04 6.2841e+04 1.0013e+05 6.9203e+04
19.5489 7.4305e+04 5.9413e+04 9.5244e+04 5.9773e+04 9.4968e+04 7.1054e+04 7.7695e+04 8.6641e+04 6.5740e+04 8.0535e+04 5.9773e+04 9.4968e+04 6.5858e+04
19.7995 7.0622e+04 5.6542e+04 9.0369e+04 5.6877e+04 9.0111e+04 6.7569e+04 7.3802e+04 8.2333e+04 6.2484e+04 7.6466e+04 5.6877e+04 9.0111e+04 6.2700e+04
20.0501 6.7150e+04 5.3831e+04 8.5780e+04 5.4143e+04 8.5540e+04 6.4282e+04 7.0134e+04 7.8270e+04 5.9414e+04 7.2635e+04 5.4143e+04 8.5540e+04 5.9714e+04
20.3008 6.3873e+04 5.1269e+04 8.1460e+04 5.1561e+04 8.1235e+04 6.1178e+04 6.6675e+04 7.4437e+04 5.6518e+04 6.9026e+04 5.1561e+04 8.1235e+04 5.6893e+04
20.5514 6.0781e+04 4.8848e+04 7.7390e+04 4.9121e+04 7.7180e+04 5.8247e+04 6.3413e+04 7.0818e+04 5.3785e+04 6.5624e+04 4.9121e+04 7.7180e+04 5.4224e+04
20.8020 5.7861e+04 4.6560e+04 7.3553e+04 4.6814e+04 7.3357e+04 5.5477e+04 6.0334e+04 6.7400e+04 5.1205e+04 6.2415e+04 4.6814e+04 7.3357e+04 5.1699e+04
21.0526 5.5102e+04 4.4394e+04 6.9936e+04 4.4632e+04 6.9753e+04 5.2859e+04 5.7427e+04 6.4171e+04 4.8767e+04 5.9388e+04 4.4632e+04 6.9753e+04 4.9309e+04
21.3033 5.2494e+04 4.2346e+04 6.6523e+04 4.2568e+04 6.6352e+04 5.0382e+04 5.4681e+04 6.1118e+04 4.6464e+04 5.6530e+04 4.2568e+04 6.6352e+04 4.7046e+04
21.5539 5.0028e+04 4.0406e+04 6.3303e+04 4.0614e+04 6.3142e+04 4.8039e+04 5.2086e+04 5.8231e+04 4.4286e+04 5.3831e+04 4.0614e+04 6.3142e+04 4.4902e+04
21.8045 4.7695e+04 3.8569e+04 6.0261e+04 3.8763e+04 6.0111e+04 4.5821e+04 4.9633e+04 5.5500e+04 4.2226e+04 5.1281e+04 3.8763e+04 6.0111e+04 4.2871e+04
22.0551 4.5488e+04 3.6829e+04 5.7388e+04 3.7011e+04 5.7248e+04 4.3722e+04 4.7312e+04 5.2915e+04 4.0276e+04 4.8871e+04 3.7011e+04 5.7248e+04 4.0945e+04
22.3058 4.3399e+04 3.5179e+04 5.4673e+04 3.5350e+04 5.4541e+04 4.1733e+04 4.5118e+04 5.0470e+04 3.8431e+04 4.6591e+04 3.5350e+04 5.4541e+04 3.9120e+04
22.5564 4.1421e+04 3.3615e+04 5.2106e+04 3.3775e+04 5.1982e+04 3.9849e+04 4.3041e+04 4.8154e+04 3.6684e+04 4.4434e+04 3.3775e+04 5.1982e+04 3.7388e+04
22.8070 3.9547e+04 3.2131e+04 4.9677e+04 3.2281e+04 4.9562e+04 3.8064e+04 4.1075e+04 4.5961e+04 3.5029e+04 4.2392e+04 3.2281e+04 4.9562e+04 3.5744e+04
23.0576 3.7771e+04 3.0723e+04 4.7379e+04 3.0864e+04 4.7270e+04 3.6370e+04 3.9212e+04 4.3883e+04 3.3460e+04 4.0459e+04 3.0864e+04 4.7270e+04 3.4184e+04
23.3083 3.6087e+04 2.9386e+04 4.5204e+04 2.9518e+04 4.5102e+04 3.4764e+04 3.7448e+04 4.1913e+04 3.1972e+04 3.8627e+04 2.9518e+04 4.5102e+04 3.2702e+04
23.5589 3.4490e+04 2.8117e+04 4.3143e+04 2.8240e+04 4.3047e+04 3.3240e+04 3.5774e+04 4.0045e+04 3.0561e+04 3.6891e+04 2.8240e+04 4.3047e+04 3.1294e+04
23.8095 3.2975e+04 2.6910e+04 4.1191e+04 2.7027e+04 4.1100e+04 3.1793e+04 3.4188e+04 3.8272e+04 2.9222e+04 3.5245e+04 2.7027e+04 4.1100e+04 2.9956e+04
24.0602 3.1536e+04 2.5764e+04 3.9340e+04 2.5873e+04 3.9255e+04 3.0418e+04 3.2683e+04 3.6590e+04 2.7951e+04 3.3684e+04 2.5873e+04 3.9255e+04 2.8683e+04
24.3108 3.0170e+04 2.4674e+04 3.7585e+04 2.4776e+04 3.7506e+04 2.9113e+04 3.1254e+04 3.4994e+04 2.6744e+04 3.2202e+04 2.4776e+04 3.7506e+04 2.7473e+04
24.5614 2.8873e+04 2.3637e+04 3.5921e+04 2.3733e+04 3.5846e+04 2.7872e+04 2.9898e+04 3.3477e+04 2.5597e+04 3.0796e+04 2.3733e+04 3.5846e+04 2.6321e+04
24.8120 2.7640e+04 2.2650e+04 3.4341e+04 2.2741e+04 3.4270e+04 2.6692e+04 2.8609e+04 3.2036e+04 2.4507e+04 2.9461e+04 2.2741e+04 3.4270e+04 2.5225e+04
25.0627 2.6468e+04 2.1710e+04 3.2841e+04 2.1796e+04 3.2775e+04 2.5570e+04 2.7385e+04 3.0666e+04 2.3471e+04 2.8192e+04 2.1796e+04 3.2775e+04 2.4181e+04
25.3133 2.5353e+04 2.0816e+04 3.1417e+04 2.0896e+04 3.1354e+04 2.4502e+04 2.6222e+04 2.9364e+04 2.2485e+04 2.6986e+04 2.0896e+04 3.1354e+04 2.3187e+04
25.5639 2.4292e+04 1.9964e+04 3.0064e+04 2.0040e+04 3.0005e+04 2.3486e+04 2.5115e+04 2.8126e+04 2.1548e+04 2.5840e+04 2.0040e+04 3.0005e+04 2.2240e+04
25.8145 2.3283e+04 1.9152e+04 2.8778e+04 1.9224e+04 2.8723e+04 2.2518e+04 2.4062e+04 2.6947e+04 2.0655e+04 2.4751e+04 1.9224e+04 2.8723e+04 2.1337e+04
26.0652 2.2322e+04 1.8378e+04 2.7556e+04 1.8446e+04 2.7504e+04 2.1596e+04 2.3061e+04 2.5826e+04 1.9805e+04 2.3714e+04 1.8446e+04 2.7504e+04 2.0476e+04
26.3158 2.1406e+04 1.7640e+04 2.6394e+04 1.7704e+04 2.6344e+04 2.0718e+04 2.2107e+04 2.4758e+04 1.8996e+04 2.2727e+04 1.7704e+04 2.6344e+04 1.9655e+04
26.5664 2.0535e+04 1.6937e+04 2.5288e+04 1.6996e+04 2.5241e+04 1.9882e+04 2.1199e+04 2.3741e+04 1.8225e+04 2.1788e+04 1.6996e+04 2.5241e+04 1.8872e+04
26.8170 1.9704e+04 1.6265e+04 2.4236e+04 1.6321e+04 2.4192e+04 1.9084e+04 2.0334e+04 2.2772e+04 1.7490e+04 2.0893e+04 1.6321e+04 2.4192e+04 1.8124e+04
27.0677 1.8912e+04 1.5624e+04 2.3234e+04 1.5677e+04 2.3192e+04 1.8323e+04 1.9510e+04 2.1848e+04 1.6789e+04 2.0041e+04 1.5677e+04 2.3192e+04 1.7411e+04
27.3183 1.8156e+04 1.5013e+04 2.2280e+04 1.5063e+04 2.2240e+04 1.7597e+04 1.8724e+04 2.0968e+04 1.6121e+04 1.9229e+04 1.5063e+04 2.2240e+04 1.6730e+04
27.5689 1.7436e+04 1.4429e+04 2.1370e+04 1.4476e+04 2.1333e+04 1.6904e+04 1.7976e+04 2.0128e+04 1.5483e+04 1.8455e+04 1.4476e+04 2.1333e+04 1.6080e+04
27.8195 1.6748e+04 1.3871e+04 2.0504e+04 1.3916e+04 2.0469e+04 1.6243e+04 1.7261e+04 1.9328e+04 1.4875e+04 1.7717e+04 1.3916e+04 2.0469e+04 1.5459e+04
28.0702 1.6092e+04 1.3339e+04 1.9678e+04 1.3381e+04 1.9645e+04 1.5611e+04 1.6579e+04 1.8564e+04 1.4294e+04 1.7013e+04 1.3381e+04 1.9645e+04 1.4866e+04
28.3208 1.5466e+04 1.2830e+04 1.8890e+04 1.2870e+04 1.8859e+04 1.5008e+04 1.5929e+04 1.7834e+04 1.3739e+04 1.6341e+04 1.2870e+04 1.8859e+04 1.4299e+04
28.5714 1.4867e+04 1.2343e+04 1.8139e+04 1.2381e+04 1.8109e+04 1.4432e+04 1.5308e+04 1.7138e+04 1.3210e+04 1.5700e+04 1.2381e+04 1.8109e+04 1.3757e+04
28.8221 1.4295e+04 1.1878e+04 1.7422e+04 1.1914e+04 1.7394e+04 1.3881e+04 1.4714e+04 1.6472e+04 1.2703e+04 1.5088e+04 1.1914e+04 1.7394e+04 1.3239e+04
